id,coordinates
6584,"35.441239,-119.077079"
9161,"37.697779,-122.462967"
11956,"33.613797,-117.680312"
15906,"33.653188,-117.646654"
16775,"38.713293,-120.838983"
89066,"33.924053,-118.197702"
14854,"37.690701,-120.995339"
8966,"37.9453,-122.5233"
8936,"37.530058,-122.290324"
8826,"34.140448,-118.012973"
12670,"37.386196,-121.960905"
90144,"33.0395812988281,-116.873985290527"
9358,"34.419908,-119.699476"
91071,"34.0867767333984,-117.693626403809"
15842,"34.09022,-117.689147"
8995,"37.521598,-120.880441"
11596,"34.036354,-118.083971"
15254,"34.421719,-119.650181"
7535,"33.800045,-116.387959"
7116,"33.720752,-116.391295"
17317,"37.289773,-121.847939"
1008975,"37.7901763916016,-122.402053833008"
17063,"36.292198,-119.314293"
90103,"38.6788520812988,-121.265228271484"
17062,"36.319224,-119.314204"
16022,"34.279457,-118.873106"
9895,"38.037365,-121.256848"
9234,"37.879064,-122.182233"
16113,"37.857193,-122.124382"
8148,"33.935637,-117.178984"
12175,"37.112508,-121.643594"
7375,"34.085755,-117.669704"
9606,"34.019986,-117.667219"
8806,"37.390821,-122.094722"
1010155,"34.2599182128906,-118.313056945801"
1008995,"34.0483055114746,-117.242301940918"
11629,"33.851451,-117.999226"
7242,"37.53312,-122.00131"
12343,"37.535872,-121.998736"
15463,"37.044871,-122.026886"
11870,"35.393067,-118.966966"
14535,"37.895147,-122.104785"
9730,"34.049355,-117.309547"
11577,"37.993149,-122.119433"
18541,"33.629998,-117.705055"
10371,"37.783947,-122.407158"
115369,"34.1578636169434,-118.634773254395"
15012,"37.594984,-122.385842"
7233,"33.555206,-117.188034"
11209,"40.799256,-124.147161"
17196,"37.370936,-121.917197"
7471,"40.57769,-124.146416"
12758,"34.085445,-117.870901"
8738,"37.691417,-121.773579"
16876,"38.250357,-122.62881"
11364,"38.288876,-122.033728"
10208,"37.770193,-122.403462"
17634,"38.258485,-122.033574"
16823,"38.323135,-122.301925"
7398,"38.181671,-122.254322"
6397,"36.3009,-119.78249"
14843,"34.022668,-118.439009"
9247,"34.03105,-118.400976"
13832,"32.80295,-117.006341"
68157,"32.689711,-117.202294"
18706,"32.681199,-117.122719"
69543,"34.055609,-118.245436"
14945,"38.581066,-121.494841"
89220,"37.5514183044434,-122.050186157227"
14365,"34.183865,-118.92193"
8912,"33.704327,-117.93416"
11810,"37.526832572638,-122.00360960528"
18466,"32.746966,-117.250754"
8624,"33.662431,-117.897138"
6358,"33.606923,-117.827621"
14396,"33.135588,-117.12151"
11447,"34.235319,-118.485898"
12068,"33.071479,-117.066961"
18639,"37.728975,-122.194352"
15662,"37.406467,-121.94176"
15719,"33.240716,-117.293474"
14705,"37.383034,-121.895624"
8672,"34.160507,-118.82431"
16552,"34.256423,-118.536089"
90552,"34.2387351989746,-118.556053161621"
14645,"38.642907,-121.456358"
1005620,"36.5981407165527,-121.874641418457"
16374,"33.802585,-117.229375"
1007204,"38.3666839599609,-121.962875366211"
11708,"37.797715,-122.396966"
13240,"37.698533,-121.048164"
13768,"37.661675,-121.004042"
16325,"38.698829,-121.18987"
11624,"34.2111,-118.840356"
9350,"37.938494,-122.024175"
15923,"34.155709,-118.346967"
7309,"37.71675,-122.208589"
10881,"37.71675,-122.208589"
7675,"37.71675,-122.208589"
17775,"37.716343658215,-122.208589"
89075,"34.045153,-118.260353"
11132,"33.948726,-116.977192"
7077,"37.710987,-120.958101"
91203,"37.6705551147461,-120.957626342773"
14806,"37.732661,-120.957665"
16205,"37.80396,-122.274449"
14070,"37.25152,-121.862327"
11625,"34.019695,-118.454751"
16269,"33.207562,-117.28546"
17716,"33.19182,-117.359375"
9773,"33.22689,-117.30534"
16577,"37.775465,-122.413439"
13442,"38.275947,-122.668105"
7906,"38.500171,-122.750396"
8259,"33.495595,-117.151462"
18296,"36.065422,-119.038441"
12510,"35.412619,-119.058429"
18099,"36.064624,-119.016163"
18659,"34.045022,-118.263944"
1007343,"34.0106582641602,-118.491561889648"
1007345,"34.0246086120605,-118.220031738281"
12148,"34.04316,-118.431672"
18564,"40.587793,-122.392596"
11795,"34.039857,-118.253353"
11068,"32.628593,-116.965745"
12165,"34.059476,-118.389593"
15424,"37.79413,-122.394795"
13331,"34.038106,-118.440928"
17298,"33.842777,-117.533021"
91072,"34.0739860534668,-117.552139282227"
11990,"34.060634,-117.182811"
9974,"33.672594,-117.911478"
15949,"33.7882,-117.852464"
17260,"33.787633,-117.853645"
12118,"37.313967,-121.794017"
15183,"33.859337,-117.959595"
91333,"33.8583831787109,-118.030502319336"
16556,"37.88431,-122.191788"
18492,"33.504478,-117.65381"
11813,"33.583449,-117.632236"
10309,"33.581922477184,-117.66538681133"
8043,"35.398067,-118.949374"
10784,"37.767065,-122.39366"
15907,"32.794437,-117.254623"
14113,"33.98677,-118.22591"
113741,"34.1918678283691,-118.938110351563"
11109,"34.157437,-118.263244"
7007,"34.163372,-118.264786"
12191,"37.998859026888,-121.31328124844"
18428,"32.801524,-117.238432"
8666,"33.845363,-118.387054"
11613,"33.805165,-118.350737"
16266,"33.182511,-117.34074"
15800,"34.047223,-118.526011"
14853,"33.812758,-118.367619"
1005656,"38.6506805419922,-121.120796203613"
14039,"36.708925,-119.556074"
17074,"32.584707,-117.061218"
1008674,"34.3462295532227,-119.069694519043"
9662,"36.836037,-119.80765"
12445,"32.584653,-117.09216"
11485,"32.581330403687,-117.03299950998"
8651,"33.945193,-116.501742"
15171,"33.822917,-116.547045"
8233,"34.579537,-118.125038"
7272,"34.506867,-117.399712"
7008,"34.506721,-117.328038"
17032,"32.763558,-117.121596"
87151,"32.603733,-117.083711"
7244,"33.130837,-117.260548"
1006561,"33.1214370727539,-117.313919067383"
8739,"33.775292,-118.375402"
15453,"33.780001,-118.309538"
12932,"33.748818,-118.407142"
13432,"35.296189,-119.026969"
17799,"35.295626,-119.054989"
18483,"33.886568089325,-118.16159274327"
16363,"37.334374,-121.924099"
12295,"32.76357,-117.106618"
8667,"32.770825838008,-117.149702"
17124,"33.671846,-117.84581"
15535,"37.926405,-122.384931"
17592,"37.763977,-122.242714"
1007341,"37.4175872802734,-121.875785827637"
12067,"32.806073,-116.969512"
16307,"34.136012,-118.132483"
91131,"34.1445083618164,-118.144180297852"
16267,"34.144349,-118.132051"
11579,"37.333418,-121.887341"
15266,"34.156117,-118.759247"
9815,"33.85656,-118.11683"
12823,"33.810738,-118.115715"
14736,"34.189144,-118.64134"
9789,"33.724221,-117.987573"
15134,"33.585748,-117.657839"
14082,"33.722782,-118.07546"
15572,"33.615632,-117.900076"
17614,"33.485854,-117.72421"
14700,"34.031168,-118.843072"
18136,"33.466359,-117.703606"
15456,"34.143915,-118.699525"
17415,"38.350056,-121.976839"
17635,"36.765,-119.718475"
16578,"37.579788,-122.333368"
14852,"38.23466,-122.64075"
12480,"37.533829,-122.326343"
15540,"33.456965384,-117.60004974005"
16379,"34.054929,-118.38354"
17873,"34.048562,-118.338679"
87039,"37.796628,-122.395558"
11264,"33.898903,-117.494645"
6792,"38.511092,-122.781139"
16554,"33.770159,-118.192195"
8829,"37.991382,-122.30247"
13937,"33.874593,-118.08199"
13879,"38.221416,-122.128912"
10281,"40.574395,-122.416769"
11227,"32.678119,-117.082029"
13882,"32.655929,-117.065758"
8467,"38.781933,-121.286906"
116571,"38.7725410461426,-121.308685302734"
16549,"37.689126,-121.902329"
18216,"37.786349,-121.254171"
1005862,"38.4806938171387,-121.516670227051"
13310,"32.747853,-117.207231"
11315,"36.136324,-120.36462"
9037,"37.796768,-122.422095"
11860,"32.980408,-117.060457"
15154,"37.994158,-122.032145"
13935,"33.671214,-117.652867"
12316,"32.957751,-117.039574"
15063,"32.951227,-117.067431"
10551,"37.789077,-122.408428"
8721,"37.686937,-122.129804"
17316,"39.132407,-123.199126"
7470,"38.541753,-121.408406"
12359,"38.650195,-121.164128"
6663,"37.799245,-122.449533"
9166,"37.245825,-121.888456"
17297,"32.661146,-116.970662"
9499,"33.525539,-117.158815"
12822,"36.225116,-119.331478"
18704,"33.823612,-116.510086"
1007574,"33.8232078552246,-116.511604309082"
9690,"34.064673,-117.96761"
9599,"37.699278,-121.817519"
15459,"34.071223,-117.958942"
16530,"33.990397,-117.926569"
12757,"33.654329830207,-117.77857168055"
91224,"37.2800979614258,-121.999900817871"
9521,"38.013121,-121.890334"
11072,"37.823451,-122.004505"
1006128,"33.6312255859375,-117.912704467773"
1007468,"33.8176498413086,-118.062858581543"
1006816,"33.4902763366699,-117.697830200195"
1006763,"33.6860580444336,-116.268615722656"
7402,"34.069266,-117.209164"
1006809,"33.7619934082031,-118.114715576172"
1007389,"34.055118560791,-118.398178100586"
1006878,"34.0447731018066,-118.466659545898"
1006570,"33.9846153259277,-118.442771911621"
1006383,"33.6304244995117,-117.90650177002"
1006803,"33.0195426940918,-117.112373352051"
1007305,"32.7760963439941,-117.154121398926"
1006760,"33.8622703552246,-117.738456726074"
19393,"33.895871,-118.395931"
19458,"33.640006,-117.875123"
1007405,"33.8770904541016,-118.217697143555"
1006135,"33.7594795227051,-116.357864379883"
1006804,"34.0215263366699,-118.35514831543"
1006255,"33.1004180908203,-117.312156677246"
1007291,"34.1631813049316,-118.521072387695"
1006170,"34.163688659668,-118.256851196289"
1007284,"34.2647361755371,-118.525550842285"
1005349,"32.8657836914063,-117.233497619629"
1005502,"34.0339965820313,-118.44832611084"
1005158,"33.9797859191895,-118.439979553223"
1006569,"34.1489448547363,-118.132369995117"
15775,"37.431668,-122.201826"
116534,"32.7281799316406,-117.22615814209"
113680,"34.0279083251953,-118.473205566406"
113823,"34.1715545654297,-118.447357177734"
113438,"33.7604637145996,-118.394706726074"
1006777,"32.9542427062988,-117.232810974121"
1007469,"34.1509208679199,-118.448753356934"
1005300,"34.0627365112305,-118.444206237793"
15946,"37.519885,-122.275591"
6555,"33.845078,-117.224219"
9001,"33.925353,-116.901837"
14696,"37.33241,-121.912714"
16822,"33.021225,-117.073407"
12472,"33.018125,-117.062038"
18673,"33.023492,-117.081778"
10236,"33.513450595525,-117.10243725671"
16066,"33.504184,-117.14782"
11711,"34.16247,-118.314601"
12114,"32.95845,-117.124771"
16683,"32.951264,-117.107275"
12126,"32.745719,-116.931217"
1005719,"33.1317520141602,-117.205841064453"
8958,"34.174264,-118.30062"
8830,"33.648842,-117.584959"
8111,"33.72185,-117.826407"
9352,"33.734585,-117.81558"
8159,"33.775204,-118.152613"
18424,"33.818525,-118.385653"
16818,"33.892162,-118.29631"
7088,"38.111802,-122.568224"
15796,"37.485022,-122.231103"
11770,"37.519764,-122.251876"
11538,"32.872929,-117.21751"
13329,"37.756954,-122.252896"
12363,"34.167225440773,-118.9563995974"
17351,"33.767531,-118.191749"
16324,"37.411436,-122.094241"
12476,"34.24168,-118.535476"
11246,"34.195004,-118.535624"
6694,"40.43209,-122.287006"
9288,"37.990321814294,-122.33495728087"
1007347,"38.6700706481934,-121.161720275879"
11851,"34.274848,-118.564311"
10312,"34.028421,-117.760779"
12903,"38.343122,-121.995812"
12834,"37.397633,-121.92417"
1006982,"38.567138671875,-121.42748260498"
16471,"34.15739,-118.424415"
7453,"34.141571620102,-117.37558607386"
13841,"34.072439,-117.369893"
16880,"37.123426886602,-120.25939673735"
7399,"38.788387,-121.20648"
1010115,"37.8335342407227,-122.249404907227"
12933,"38.348719,-122.720247"
113920,"38.3492622375488,-122.710105895996"
13295,"35.293767,-120.672487"
17754,"32.736301,-117.217055"
116630,"34.2209892272949,-118.502151489258"
7599,"38.081169,-122.193032"
7608,"33.901768,-118.125681"
17357,"33.903022,-118.255055"
11575,"33.902274,-118.383552"
87720,"32.726814,-117.227316"
8008,"33.89826,-118.006719"
9292,"33.901352,-118.366682"
17939,"33.904406,-118.388484"
16372,"38.562213,-121.494015"
65920,"33.95983,-117.593089"
6916,"33.902634,-118.054802"
1010006,"33.902416229248,-118.09928894043"
11836,"33.901747,-118.374064"
